                   Name                   KIT DE ENSAMBLE                                                                                  idKit      
1.- ACERO DE ESTRUCTURA PLACAS            KIT ACERO PLACA CAMA BAJA 53FT(3E)                                                             9613322719   
2.- ACERO DE ESTRUCTURA PERFILES          KIT ACERO PERFILES CAMA BAJA 53FT(3E)                                                          9613322904   
3.- ACERO SUSPENSION                      KIT DE SUSPENSION DE AIRE TRANSTOOLS 1 EJE ACERO (BRAZO POR DEBAJO DEL EJE NORMAL)             5337246882   
4.- ACERO BARRAS DE COLISION                                                                                                          
5.- ACERO PORTA LLANTAS                   KIT PORTALLANTAS ENTRE PATINES                                                                 9626670547   
6.- ACERO RAMPAS TRASERAS DESMONTABLES     KIT ACERO RAMPAS OCULTAS EN CUELLO                                                                           
7.- ACERO CAJA DE HERRAMIENTAS            KIT DE CAJA DE HERRAMIENTAS CHICA (110CMX46CMX50CM)                                            4934676964   
8.- ACERO RETRACTIL                       KIT DE RETRACTIL PARA 1 EJE SUSPENSION HT300US (COLOCACION EN PUENTES DE PERCHA) ACERO Y REF   9470123208   
9.- CONSUMIBLES PLATAFORMA                KIT DE CONSUMIBLES PL-40FT                                                                     4946543422   
10.- REFACCIONES DE PLATAFORMA            KIT DE REFACCIONES CB53FT                                                                      9623655712   
11.- PATINES REFACCIONES                  KIT JUEGO DE PATIN AMPRO TJ MULTIMONTAJE REFACCIONES                                           4892148198   
12.- PISO                                 KIT  PISO DE MADERA Y LAM. ANTIDERRAPANTE CAL. 14 PARA CAMA BAJA 53FT                         12849029470   
13.- SUSPENSION DE AIRE, REFACCIONES      KIT DE SUSPENSIÓN DE AIRE TRANSTOOLS 1 EJE REFACCIONES (POR DEBAJO DEL EJE, TUPO U) COMPONEN   9706758410   
14.- EJES                                 KIT DE EJE GRASA 77.5 BIRLO LARGO TAPA NEGRA                                                   5760888790   
15.- EJE RETRACTIL, REFACCIONES           KIT DE RETRACTIL PARA 1 EJE SUSPENSION HT300US (COLOCACION EN PUENTES DE PERCHA) REFACCIONES   6336504416   
16.- PINTURA                              KIT DE PINTURA PPG CAMA BAJA 53FT, 2 EJES                                                      9546299821   
17.- SISTEMA NEUMATICO, MANITAS           KIT DE MANITAS FRENTE (SENCILLAS ROSCABLES PHILLIPS)                                           4995053419   
18.- SISTEMA NEUMATICO, FRENOS            KIT DE SISTEMA AIRE DE FRENOS CON ABS BENDIX, 2 EJES (1M, 2S)                                  5023727178   
19.- SISTEMA NEUMATICO, SUSPENSION        KIT SISTEMA DE AIRE PARA SUSPENSIÓN 2 EJES                                                     5008221986   
20.- GANCHO PARA JALON, REFACCIONES                                                                                                   
21.- SISTEMA ELECTRICO                    KIT DE SISTEMA ELECTRICO CAMA BAJA 53FT (MODELO 2026)                                         12848322190   
22.- RIEL PARA WINCHES                    KIT RIEL DE WINCHES FABRICADO (UNA PIEZA DE 1.83 MTS.)                                         9465308565   
23.- WINCHES, REFACCIONES                 KIT DE WINCHES (10 PIEZAS) 2 EJES                                                              4892100588   
24.- PUBLICIDAD                           KIT DE PUBLICIDAD CAMA BAJA 53FT LINEA AMFORCE (MODELO 2026)                                  12848423758   
25.- BANDEROLAS                           KIT DE BANDEROLAS (DOS PIEZAS)                                                                 5641553924   
26.- LONA PRECAUCION DOBLE SEMI REMOLQUE                                                                                              
27.- RINES                                KIT DE RINES AMPRO ACERO 22.5 - 1 EJE                                                          4920042271   
28.- LLANTAS                              KIT DE LLANTA CHINA 255/70R/ 22.5 - 1 EJE                                                      4919986791   
                                          null                                                                                        
